Simulation Number,Total Cells Percentage,Total Empty Cells Percentage,Total Trees Percentage,Total Trees On Fire Percentage
192,10000,44.15,34.01,21.84
193,10000,44.019999999999996,33.73,22.25
194,10000,44.54,33.46,22.0
195,10000,44.84,33.57,21.59
196,10000,44.42,34.760000000000005,20.82
197,10000,43.120000000000005,35.53,21.349999999999998
198,10000,42.8,34.82,22.38
199,10000,44.379999999999995,33.61,22.009999999999998
200,10000,44.47,34.04,21.490000000000002
201,10000,43.93,34.06,22.009999999999998
202,10000,44.230000000000004,34.239999999999995,21.529999999999998
203,10000,44.2,34.38,21.42
204,10000,43.36,35.15,21.490000000000002
205,10000,42.83,35.0,22.17
206,10000,43.46,34.410000000000004,22.13
207,10000,44.190000000000005,34.03,21.78
208,10000,43.769999999999996,34.56,21.67
209,10000,43.57,34.73,21.7
210,10000,43.22,34.260000000000005,22.52
211,10000,43.419999999999995,33.98,22.6
212,10000,44.42,33.45,22.13
213,10000,43.84,34.78,21.38
214,10000,43.830000000000005,33.7,22.470000000000002
215,10000,44.769999999999996,33.47,21.759999999999998
216,10000,43.79,35.07,21.14
217,10000,43.57,34.79,21.64
218,10000,43.88,33.83,22.29
219,10000,43.65,34.47,21.88
220,10000,43.68,35.0,21.32
221,10000,43.03,35.25,21.72
222,10000,42.79,34.589999999999996,22.62
223,10000,44.07,33.81,22.12
224,10000,44.43,33.660000000000004,21.91
225,10000,44.29,34.46,21.25
226,10000,42.99,34.93,22.08
227,10000,43.41,34.2,22.39
228,10000,43.8,33.87,22.33
229,10000,44.4,33.45,22.15
230,10000,44.15,34.02,21.83
231,10000,44.3,33.67,22.03
232,10000,43.9,34.79,21.310000000000002
233,10000,43.03,35.56,21.41
234,10000,42.95,34.56,22.49
235,10000,43.65,34.22,22.13
236,10000,43.669999999999995,34.39,21.94
237,10000,43.69,34.75,21.560000000000002
238,10000,43.18,34.64,22.18
239,10000,43.78,34.53,21.69
240,10000,44.03,34.14,21.83
241,10000,44.18,33.53,22.29
242,10000,44.68,34.06,21.26
243,10000,43.32,35.160000000000004,21.52
244,10000,43.13,34.69,22.18
245,10000,43.480000000000004,34.25,22.27
246,10000,43.71,34.19,22.1
247,10000,43.75,34.489999999999995,21.759999999999998
248,10000,43.87,33.95,22.18
249,10000,44.190000000000005,34.23,21.58
250,10000,43.919999999999995,34.33,21.75
251,10000,44.48,33.19,22.33
252,10000,44.68,33.67,21.65
253,10000,43.81,34.73,21.46
254,10000,43.68,34.46,21.86
255,10000,43.830000000000005,34.11,22.06
256,10000,44.0,34.38,21.62
257,10000,43.21,35.03,21.759999999999998
258,10000,43.47,34.39,22.14
259,10000,44.800000000000004,32.5,22.7
260,10000,44.75,33.989999999999995,21.26
261,10000,43.55,35.32,21.13
262,10000,42.980000000000004,34.92,22.1
263,10000,43.02,34.56,22.42
264,10000,43.81,33.550000000000004,22.64
265,10000,44.269999999999996,33.550000000000004,22.18
266,10000,44.41,34.239999999999995,21.349999999999998
267,10000,43.15,35.43,21.42
268,10000,42.870000000000005,34.86,22.27
269,10000,43.46,34.12,22.42
270,10000,44.440000000000005,32.95,22.61
271,10000,45.31,33.629999999999995,21.060000000000002
272,10000,43.36,34.98,21.66
273,10000,43.25,35.04,21.709999999999997
274,10000,42.94,34.260000000000005,22.8
275,10000,44.37,33.650000000000006,21.98
276,10000,44.07,34.67,21.26
277,10000,43.480000000000004,34.54,21.98
278,10000,43.7,34.489999999999995,21.81
279,10000,42.78,34.949999999999996,22.27
280,10000,43.29,34.48,22.23
281,10000,43.68,34.239999999999995,22.08
282,10000,43.93,34.07,22.0
283,10000,44.26,34.06,21.68
284,10000,43.86,34.239999999999995,21.9
285,10000,43.63,34.260000000000005,22.11
286,10000,43.54,34.62,21.84
287,10000,43.769999999999996,34.14,22.09
288,10000,44.330000000000005,33.78,21.89
289,10000,44.25,34.53,21.22
290,10000,43.0,35.480000000000004,21.52
291,10000,42.52,34.88,22.6
292,10000,43.95,33.35,22.7
293,10000,44.39,34.089999999999996,21.52
294,10000,43.76,35.02,21.22
295,10000,42.69,35.54,21.77
296,10000,42.89,34.54,22.57
297,10000,43.68,34.13,22.189999999999998
298,10000,43.980000000000004,34.07,21.95
299,10000,43.57,34.449999999999996,21.98
300,10000,44.21,34.03,21.759999999999998
301,10000,43.65,34.61,21.740000000000002
302,10000,43.36,34.64,22.0
303,10000,44.11,33.42,22.470000000000002
304,10000,44.3,33.83,21.87
305,10000,43.94,34.29,21.77
306,10000,44.62,33.79,21.59
307,10000,43.18,35.620000000000005,21.2
308,10000,42.66,35.39,21.95
309,10000,43.44,33.77,22.79
310,10000,43.99,33.78,22.23
311,10000,44.16,33.95,21.89
312,10000,44.18,33.79,22.03
313,10000,44.019999999999996,33.879999999999995,22.1
314,10000,44.25,34.050000000000004,21.7
315,10000,44.15,34.12,21.73
316,10000,43.71,34.13,22.16
317,10000,44.690000000000005,33.21,22.1
318,10000,44.529999999999994,34.23,21.240000000000002
319,10000,43.47,35.099999999999994,21.43
320,10000,43.21,34.89,21.9
321,10000,43.6,33.879999999999995,22.52
322,10000,44.529999999999994,33.489999999999995,21.98
323,10000,43.89,34.72,21.39
324,10000,43.01,35.0,21.990000000000002
325,10000,43.14,34.56,22.3
326,10000,43.5,33.94,22.56
327,10000,45.050000000000004,32.86,22.09
328,10000,43.7,35.449999999999996,20.849999999999998
329,10000,42.77,35.0,22.23
330,10000,43.11,34.489999999999995,22.400000000000002
331,10000,43.84,33.879999999999995,22.28
332,10000,43.919999999999995,33.97,22.11
333,10000,44.15,34.43,21.42
334,10000,43.2,35.24,21.560000000000002
335,10000,42.89,35.089999999999996,22.02
336,10000,43.44,33.97,22.59
337,10000,44.12,34.089999999999996,21.790000000000003
338,10000,43.94,34.04,22.02
339,10000,43.59,35.05,21.36
340,10000,44.0,33.83,22.17
341,10000,44.01,34.52,21.47
342,10000,43.16,35.23,21.61
343,10000,42.970000000000006,34.910000000000004,22.12
344,10000,43.35,34.68,21.97
345,10000,43.78,34.42,21.8
346,10000,44.2,33.77,22.03
347,10000,44.269999999999996,34.57,21.16
348,10000,43.04,35.120000000000005,21.84
349,10000,42.83,34.86,22.31
350,10000,43.39,34.02,22.59
351,10000,43.84,34.17,21.990000000000002
352,10000,43.44,34.83,21.73
353,10000,43.21,34.55,22.24
354,10000,43.7,33.96,22.34
355,10000,44.41,33.77,21.82
356,10000,44.22,34.2,21.58
357,10000,42.94,35.22,21.84
358,10000,42.75,34.910000000000004,22.34
359,10000,43.519999999999996,34.17,22.31
360,10000,44.32,33.78,21.9
361,10000,44.29,34.13,21.58
362,10000,43.580000000000005,34.510000000000005,21.91
363,10000,43.6,33.989999999999995,22.41
364,10000,43.95,34.25,21.8
365,10000,43.309999999999995,34.96,21.73
366,10000,43.64,33.87,22.49
367,10000,44.37,33.58,22.05
368,10000,44.54,34.0,21.46
369,10000,43.730000000000004,34.839999999999996,21.43
370,10000,43.32,34.55,22.13
371,10000,43.769999999999996,34.150000000000006,22.08
372,10000,44.07,33.989999999999995,21.94
373,10000,44.190000000000005,33.95,21.86
374,10000,43.769999999999996,34.25,21.98
375,10000,43.85,34.25,21.9
376,10000,43.53,34.72,21.75
377,10000,43.71,34.37,21.92
378,10000,43.95,33.78,22.27
379,10000,44.019999999999996,34.32,21.66
380,10000,44.07,34.2,21.73
381,10000,44.07,33.69,22.24
382,10000,44.75,33.06,22.189999999999998
383,10000,44.43,33.78,21.790000000000003
384,10000,44.11,34.239999999999995,21.65
385,10000,43.45,34.23,22.32
386,10000,43.89,34.1,22.009999999999998
387,10000,43.65,34.52,21.83
388,10000,44.18,34.2,21.62
389,10000,44.03,34.14,21.83
390,10000,43.81,34.5,21.69
391,10000,43.79,34.64,21.57
392,10000,43.64,34.29,22.07
393,10000,43.66,34.48,21.86
394,10000,43.43,35.17,21.4
395,10000,42.9,34.57,22.53
396,10000,43.980000000000004,33.61,22.41
397,10000,44.519999999999996,34.4,21.08
398,10000,42.970000000000006,35.620000000000005,21.41
399,10000,43.120000000000005,34.25,22.63
400,10000,43.55,34.510000000000005,21.94
401,10000,43.59,34.83,21.58
402,10000,43.519999999999996,34.160000000000004,22.32
403,10000,43.54,34.27,22.189999999999998
404,10000,43.84,33.73,22.43
405,10000,44.74,33.45,21.81
406,10000,44.05,34.8,21.15
407,10000,43.03,34.870000000000005,22.1
408,10000,43.41,33.68,22.91
409,10000,44.769999999999996,33.379999999999995,21.85
410,10000,44.529999999999994,34.44,21.029999999999998
411,10000,43.03,34.79,22.18
412,10000,43.57,33.660000000000004,22.770000000000003
413,10000,44.64,33.4,21.959999999999997
414,10000,44.9,33.42,21.68
415,10000,43.78,34.67,21.55
416,10000,43.2,34.870000000000005,21.93
417,10000,43.69,33.82,22.49
418,10000,44.34,33.910000000000004,21.75
419,10000,43.7,34.870000000000005,21.43
420,10000,42.980000000000004,35.339999999999996,21.68
421,10000,43.16,34.38,22.46
422,10000,44.019999999999996,33.879999999999995,22.1
