Simulation Number,Total Cells Percentage,Total Empty Cells Percentage,Total Trees Percentage,Total Trees On Fire Percentage
426,10000,44.64,33.86,21.5
427,10000,43.41,35.04,21.55
428,10000,42.620000000000005,35.4,21.98
429,10000,43.45,34.4,22.15
430,10000,44.21,33.58,22.21
431,10000,44.0,34.47,21.529999999999998
432,10000,43.51,34.35,22.14
433,10000,43.56,34.31,22.13
434,10000,44.47,34.089999999999996,21.44
435,10000,44.25,34.300000000000004,21.45
436,10000,43.309999999999995,35.19,21.5
437,10000,43.49,34.74,21.77
438,10000,43.94,33.4,22.66
439,10000,44.54,33.81,21.65
440,10000,44.18,34.67,21.15
441,10000,43.269999999999996,34.65,22.08
442,10000,43.66,33.89,22.45
443,10000,44.28,33.83,21.89
444,10000,43.88,34.56,21.560000000000002
445,10000,43.53,34.589999999999996,21.88
446,10000,44.080000000000005,33.7,22.220000000000002
447,10000,44.1,33.86,22.040000000000003
448,10000,44.01,34.53,21.46
449,10000,43.57,34.489999999999995,21.94
450,10000,44.31,33.92,21.77
451,10000,44.190000000000005,34.18,21.63
452,10000,43.72,34.68,21.6
453,10000,42.88,35.69,21.43
454,10000,42.39,35.410000000000004,22.2
455,10000,44.019999999999996,33.379999999999995,22.6
456,10000,44.09,33.879999999999995,22.03
457,10000,44.06,33.76,22.18
458,10000,44.39,34.03,21.58
459,10000,44.29,33.76,21.95
460,10000,45.07,33.25,21.68
461,10000,44.03,34.75,21.22
462,10000,42.94,35.15,21.91
463,10000,43.57,33.68,22.75
464,10000,44.43,33.44,22.13
465,10000,44.7,33.98,21.32
466,10000,43.769999999999996,34.89,21.34
467,10000,43.62,34.12,22.259999999999998
468,10000,44.0,34.01,21.990000000000002
469,10000,43.72,35.31,20.97
470,10000,42.230000000000004,35.85,21.92
471,10000,42.5,34.72,22.78
472,10000,43.38,33.61,23.01
473,10000,44.59,33.489999999999995,21.92
474,10000,43.59,35.27,21.14
475,10000,42.55,35.43,22.02
476,10000,43.6,33.75,22.650000000000002
477,10000,44.36,33.36,22.28
478,10000,43.89,34.39,21.72
479,10000,43.6,34.33,22.07
480,10000,43.93,33.97,22.1
481,10000,44.39,33.7,21.91
482,10000,44.34,33.71,21.95
483,10000,44.529999999999994,33.97,21.5
484,10000,44.07,33.550000000000004,22.38
485,10000,43.97,34.71,21.32
486,10000,43.45,34.28,22.27
487,10000,43.78,34.29,21.93
488,10000,44.11,34.01,21.88
489,10000,44.03,34.36,21.61
490,10000,43.19,34.74,22.07
491,10000,43.55,34.29,22.16
492,10000,43.63,34.1,22.27
493,10000,44.14,34.28,21.58
494,10000,43.36,34.489999999999995,22.15
495,10000,44.01,33.92,22.07
496,10000,44.15,34.21,21.64
497,10000,44.12,34.48,21.4
498,10000,43.669999999999995,35.0,21.33
499,10000,43.18,34.660000000000004,22.16
500,10000,43.65,34.29,22.06
501,10000,44.019999999999996,33.47,22.509999999999998
502,10000,44.14,34.23,21.63
503,10000,43.75,34.65,21.6
504,10000,44.13,33.7,22.17
505,10000,44.190000000000005,33.4,22.41
506,10000,45.08,34.0,20.919999999999998
507,10000,43.15,35.65,21.2
508,10000,43.2,34.300000000000004,22.5
509,10000,44.43,33.39,22.18
510,10000,44.2,34.38,21.42
511,10000,43.59,35.199999999999996,21.21
512,10000,42.93,35.260000000000005,21.81
513,10000,43.22,34.61,22.17
514,10000,43.44,34.62,21.94
515,10000,43.919999999999995,34.17,21.91
516,10000,44.17,34.239999999999995,21.59
517,10000,43.3,34.93,21.77
518,10000,43.93,34.07,22.0
519,10000,44.3,34.47,21.23
520,10000,43.269999999999996,34.88,21.85
521,10000,43.62,34.239999999999995,22.14
522,10000,44.2,34.150000000000006,21.65
523,10000,43.93,34.19,21.88
524,10000,43.580000000000005,34.86,21.560000000000002
525,10000,42.970000000000006,35.160000000000004,21.87
526,10000,43.059999999999995,34.55,22.39
527,10000,44.16,33.15,22.689999999999998
528,10000,45.04,33.379999999999995,21.58
529,10000,43.82,34.82,21.36
530,10000,43.08,35.0,21.92
531,10000,43.25,34.62,22.13
532,10000,43.96,33.62,22.42
533,10000,43.980000000000004,34.31,21.709999999999997
534,10000,42.96,35.370000000000005,21.67
535,10000,43.32,34.12,22.56
536,10000,43.769999999999996,34.239999999999995,21.990000000000002
537,10000,43.66,34.72,21.62
538,10000,43.33,34.92,21.75
539,10000,43.37,34.69,21.94
540,10000,43.81,33.52,22.67
541,10000,44.74,33.550000000000004,21.709999999999997
542,10000,43.72,35.04,21.240000000000002
543,10000,43.21,34.81,21.98
544,10000,43.71,34.08,22.21
545,10000,44.18,34.339999999999996,21.48
546,10000,43.74,34.489999999999995,21.77
547,10000,43.480000000000004,33.879999999999995,22.64
548,10000,44.3,32.92,22.78
549,10000,44.09,34.63,21.279999999999998
550,10000,43.33,34.660000000000004,22.009999999999998
551,10000,43.6,34.5,21.9
552,10000,44.17,33.6,22.23
553,10000,44.06,34.17,21.77
554,10000,43.72,34.56,21.72
555,10000,43.04,34.89,22.07
556,10000,43.09,34.4,22.509999999999998
557,10000,44.190000000000005,33.37,22.439999999999998
558,10000,44.16,33.989999999999995,21.85
559,10000,43.85,34.81,21.34
560,10000,43.15,34.58,22.27
561,10000,43.45,34.44,22.11
562,10000,44.82,32.72,22.46
563,10000,44.74,34.04,21.22
564,10000,43.81,34.88,21.310000000000002
565,10000,43.63,34.23,22.14
566,10000,44.519999999999996,33.050000000000004,22.43
567,10000,45.39,33.57,21.04
568,10000,43.43,35.78,20.79
569,10000,42.34,35.8,21.86
570,10000,43.120000000000005,34.42,22.46
571,10000,44.330000000000005,33.35,22.32
572,10000,44.6,33.95,21.45
573,10000,44.080000000000005,34.43,21.490000000000002
574,10000,43.71,34.410000000000004,21.88
575,10000,43.85,34.2,21.95
576,10000,44.62,33.46,21.92
577,10000,43.43,34.72,21.85
578,10000,43.419999999999995,34.69,21.89
579,10000,42.970000000000006,34.83,22.2
580,10000,44.0,33.33,22.67
581,10000,44.62,34.03,21.349999999999998
582,10000,43.34,34.94,21.72
583,10000,43.89,33.82,22.29
584,10000,44.03,34.239999999999995,21.73
585,10000,43.59,34.44,21.97
586,10000,43.53,34.14,22.33
587,10000,44.1,33.53,22.37
588,10000,44.7,34.14,21.16
589,10000,43.69,35.14,21.17
590,10000,43.269999999999996,35.07,21.66
591,10000,43.13,35.21,21.66
592,10000,42.79,35.13,22.08
593,10000,42.91,34.75,22.34
594,10000,43.51,34.07,22.42
595,10000,44.07,33.97,21.959999999999997
596,10000,43.68,34.339999999999996,21.98
597,10000,43.4,35.02,21.58
598,10000,43.86,34.160000000000004,21.98
599,10000,43.7,33.85,22.45
600,10000,44.43,33.56,22.009999999999998
601,10000,44.22,34.21,21.57
602,10000,43.71,34.61,21.68
603,10000,43.29,34.55,22.16
604,10000,43.45,34.25,22.3
605,10000,44.13,33.97,21.9
606,10000,43.94,34.61,21.45
607,10000,43.85,33.83,22.32
608,10000,44.41,34.13,21.46
609,10000,43.230000000000004,34.75,22.02
610,10000,43.88,34.22,21.9
611,10000,43.45,34.77,21.78
612,10000,43.08,35.11,21.81
613,10000,43.2,34.589999999999996,22.21
614,10000,43.81,33.910000000000004,22.28
615,10000,44.41,34.28,21.310000000000002
616,10000,43.18,35.449999999999996,21.37
617,10000,42.59,35.15,22.259999999999998
618,10000,43.309999999999995,33.87,22.82
619,10000,45.16,32.76,22.08
620,10000,44.41,34.410000000000004,21.18
621,10000,43.2,35.28,21.52
622,10000,43.14,34.31,22.55
623,10000,43.74,34.46,21.8
624,10000,43.68,34.410000000000004,21.91
625,10000,44.49,33.339999999999996,22.17
626,10000,44.26,34.13,21.61
627,10000,43.95,34.410000000000004,21.64
628,10000,43.480000000000004,34.78,21.740000000000002
629,10000,43.03,35.06,21.91
630,10000,43.3,34.22,22.48
631,10000,44.04,34.64,21.32
632,10000,43.74,34.449999999999996,21.81
633,10000,43.94,34.050000000000004,22.009999999999998
634,10000,43.97,34.510000000000005,21.52
635,10000,43.57,34.64,21.790000000000003
636,10000,43.39,34.56,22.05
637,10000,43.32,34.63,22.05
638,10000,43.8,34.14,22.06
639,10000,43.96,34.38,21.66
640,10000,42.8,35.010000000000005,22.189999999999998
641,10000,43.18,34.43,22.39
642,10000,44.07,33.550000000000004,22.38
643,10000,44.230000000000004,34.11,21.66
644,10000,44.11,33.86,22.03
645,10000,44.34,34.0,21.66
646,10000,43.580000000000005,34.93,21.490000000000002
647,10000,42.68,35.14,22.18
648,10000,43.62,34.07,22.31
649,10000,44.800000000000004,34.02,21.18
650,10000,43.88,35.02,21.099999999999998
651,10000,42.83,35.480000000000004,21.69
652,10000,43.01,34.42,22.57
653,10000,43.66,33.839999999999996,22.5
654,10000,43.78,34.410000000000004,21.81
655,10000,43.11,34.97,21.92
656,10000,43.84,33.85,22.31
657,10000,43.76,34.13,22.11
