Simulation Number,Total Cells Percentage,Total Empty Cells Percentage,Total Trees Percentage,Total Trees On Fire Percentage
286,10000,39.1,35.29,25.61
287,10000,38.32,36.01,25.669999999999998
288,10000,38.01,35.9,26.090000000000003
289,10000,38.53,34.760000000000005,26.71
290,10000,39.290000000000006,35.02,25.69
291,10000,38.56,35.96,25.480000000000004
292,10000,37.79,36.4,25.81
293,10000,37.8,36.14,26.06
294,10000,38.54,34.99,26.47
295,10000,39.32,35.010000000000005,25.669999999999998
296,10000,38.79,35.83,25.380000000000003
297,10000,38.37,35.93,25.7
298,10000,38.56,35.21,26.229999999999997
299,10000,38.54,35.92,25.540000000000003
300,10000,38.800000000000004,35.52,25.679999999999996
301,10000,39.71,34.55,25.740000000000002
302,10000,39.660000000000004,35.47,24.87
303,10000,38.879999999999995,35.339999999999996,25.779999999999998
304,10000,38.86,35.17,25.97
305,10000,39.129999999999995,35.08,25.790000000000003
306,10000,39.07,34.82,26.11
307,10000,39.589999999999996,34.839999999999996,25.569999999999997
308,10000,38.56,36.559999999999995,24.88
309,10000,38.22,35.65,26.13
310,10000,38.71,35.23,26.06
311,10000,38.83,35.5,25.669999999999998
312,10000,38.72,35.49,25.790000000000003
313,10000,38.7,35.29,26.009999999999998
314,10000,38.54,35.52,25.94
315,10000,38.6,35.49,25.91
316,10000,38.83,35.79,25.380000000000003
317,10000,39.050000000000004,35.31,25.64
318,10000,38.18,36.42,25.4
319,10000,37.82,35.83,26.35
320,10000,39.26,33.82,26.919999999999998
321,10000,39.31,35.67,25.019999999999996
322,10000,39.01,36.27,24.72
323,10000,38.2,35.9,25.900000000000002
324,10000,38.629999999999995,35.17,26.200000000000003
325,10000,38.940000000000005,34.88,26.179999999999996
326,10000,38.29,35.89,25.82
327,10000,38.09,35.44,26.47
328,10000,38.690000000000005,34.949999999999996,26.36
329,10000,38.47,35.589999999999996,25.94
330,10000,39.03,35.04,25.929999999999996
331,10000,38.279999999999994,36.08,25.64
332,10000,38.879999999999995,34.99,26.13
333,10000,38.74,35.56,25.7
334,10000,38.36,35.97,25.669999999999998
335,10000,38.019999999999996,35.709999999999994,26.27
336,10000,38.86,34.760000000000005,26.38
337,10000,38.57,35.96,25.47
338,10000,38.79,34.92,26.290000000000003
339,10000,39.33,35.32,25.35
340,10000,38.2,36.39,25.41
341,10000,38.25,35.260000000000005,26.490000000000002
342,10000,38.95,35.19,25.86
343,10000,39.129999999999995,35.260000000000005,25.61
344,10000,38.57,35.699999999999996,25.729999999999997
345,10000,39.0,34.870000000000005,26.13
